timestamp,back_x,back_y,back_z,thigh_x,thigh_y,thigh_z,label
2021-04-14 14:28:08,-1.324951,-0.359131,0.391113,-0.984863,0.460693,0.45166,6
2021-04-14 14:28:08,-1.374268,-0.158691,0.380371,-0.59082,0.639648,0.812988,6
2021-04-14 14:28:08,-1.040039,0.018311,0.303955,-0.584717,0.324951,0.538574,6
2021-04-14 14:28:08,-0.819824,0.110352,0.169678,-0.859375,-0.04541,-0.064941,6
2021-04-14 14:28:08,-0.925781,0.082275,0.195312,-1.2229,-0.280518,-0.486084,6
2021-04-14 14:28:08,-0.912109,0.016357,0.260498,-1.122314,-0.206299,-0.509277,6
2021-04-14 14:28:08,-0.927979,-0.033691,0.276611,-0.983887,0.057373,-0.324951,6
2021-04-14 14:28:08,-0.910889,-0.0979,0.260254,-0.956787,0.04834,-0.068115,6
2021-04-14 14:28:08,-0.898193,-0.078369,0.259033,-0.896484,0.084229,-0.222412,6
2021-04-14 14:28:08,-0.945801,-0.06665,0.227295,-0.888916,0.205322,-0.161865,6
2021-04-14 14:28:08,-0.925293,-0.115967,0.226074,-0.88501,0.211426,-0.290283,6
2021-04-14 14:28:08,-0.912842,-0.112549,0.19458,-0.885254,0.202393,-0.418213,6
2021-04-14 14:28:08,-0.925049,-0.108154,0.19751,-0.959473,0.093506,-0.421143,6
2021-04-14 14:28:08,-0.894531,-0.073486,0.19751,-0.983398,0.029541,-0.372314,6
2021-04-14 14:28:08,-0.919189,-0.066895,0.197754,-0.941895,-0.000732,-0.299316,6
2021-04-14 14:28:08,-0.951416,-0.106445,0.195312,-0.943848,-0.049072,-0.26123,6
2021-04-14 14:28:08,-0.958008,-0.132568,0.173828,-0.979736,-0.063965,-0.282227,6
2021-04-14 14:28:08,-0.944092,-0.127686,0.138428,-0.979492,-0.03833,-0.289551,6
2021-04-14 14:28:08,-0.970703,-0.132324,0.11377,-0.973877,0.001465,-0.292725,6
2021-04-14 14:28:08,-0.991211,-0.148438,0.119141,-0.984619,0.105225,-0.237061,6
2021-04-14 14:28:08,-0.978027,-0.13501,0.112793,-0.943115,0.205811,-0.189209,6
2021-04-14 14:28:08,-0.993896,-0.107666,0.10498,-0.926025,0.155762,-0.178223,6
2021-04-14 14:28:08,-0.991699,-0.112305,0.120605,-0.971924,0.046143,-0.169678,6
2021-04-14 14:28:08,-0.991699,-0.113525,0.118164,-0.986328,-0.001953,-0.169922,6
2021-04-14 14:28:08,-0.991699,-0.107666,0.116943,-0.992432,-0.007812,-0.181885,6
2021-04-14 14:28:08,-0.993164,-0.087646,0.125732,-1.005859,0.020996,-0.180664,6
2021-04-14 14:28:08,-0.983643,-0.077881,0.128418,-0.986572,0.067139,-0.172119,6
2021-04-14 14:28:08,-0.981934,-0.080078,0.122803,-0.945068,0.090332,-0.164795,6
2021-04-14 14:28:08,-0.985107,-0.082031,0.134521,-0.943848,0.094971,-0.149658,6
2021-04-14 14:28:08,-0.980957,-0.070801,0.143311,-0.954346,0.095947,-0.121826,6
2021-04-14 14:28:08,-0.991699,-0.067871,0.14624,-0.946045,0.090332,-0.092041,6
2021-04-14 14:28:08,-0.999756,-0.088135,0.12207,-0.984619,0.03833,-0.118164,6
2021-04-14 14:28:08,-1.009521,-0.104492,0.126709,-1.009766,0.056152,-0.107422,6
2021-04-14 14:28:08,-1.007568,-0.125,0.125244,-0.966064,0.107666,-0.078369,6
2021-04-14 14:28:08,-1.009766,-0.123291,0.125488,-0.948486,0.096436,-0.08667,6
2021-04-14 14:28:08,-0.998291,-0.103516,0.133545,-0.962891,0.029053,-0.106201,6
2021-04-14 14:28:08,-0.990234,-0.084961,0.143555,-0.983643,0.009033,-0.109863,6
2021-04-14 14:28:08,-0.993896,-0.078857,0.148926,-0.972168,0.034912,-0.109375,6
2021-04-14 14:28:08,-0.979248,-0.080078,0.160156,-0.968262,0.082764,-0.107422,6
2021-04-14 14:28:08,-0.987305,-0.080078,0.164551,-0.96875,0.121094,-0.12085,6
2021-04-14 14:28:08,-0.981934,-0.077881,0.176514,-0.970215,0.128418,-0.138672,6
2021-04-14 14:28:08,-0.972412,-0.091309,0.180176,-0.953369,0.099365,-0.141846,6
2021-04-14 14:28:08,-0.989502,-0.094727,0.195312,-0.967285,0.066895,-0.125,6
2021-04-14 14:28:08,-0.980713,-0.110352,0.184326,-0.967773,0.033691,-0.139648,6
2021-04-14 14:28:08,-0.975098,-0.103027,0.195068,-0.984131,0.014893,-0.139404,6
2021-04-14 14:28:09,-0.978027,-0.083252,0.185791,-0.96875,0.045898,-0.171143,6
2021-04-14 14:28:09,-0.963135,-0.07959,0.178955,-0.968506,0.078369,-0.187256,6
2021-04-14 14:28:09,-0.95752,-0.078125,0.19458,-0.953125,0.093506,-0.170898,6
2021-04-14 14:28:09,-0.973145,-0.095459,0.197754,-0.969482,0.075684,-0.154541,6
2021-04-14 14:28:09,-0.976074,-0.082764,0.19751,-0.968506,0.045898,-0.137207,6
2021-04-14 14:28:09,-0.97583,-0.081543,0.19751,-0.970215,0.064941,-0.105225,6
2021-04-14 14:28:09,-0.974365,-0.064453,0.19751,-0.983887,0.081299,-0.093994,6
2021-04-14 14:28:09,-0.991455,-0.078613,0.19751,-0.967041,0.095215,-0.110596,6
2021-04-14 14:28:09,-0.976807,-0.081299,0.19751,-0.968994,0.093994,-0.111816,6
2021-04-14 14:28:09,-0.97583,-0.064941,0.19751,-0.965332,0.090332,-0.126709,6
2021-04-14 14:28:09,-0.97583,-0.064209,0.19751,-0.954102,0.080322,-0.123779,6
2021-04-14 14:28:09,-0.97583,-0.064209,0.19751,-0.970703,0.089111,-0.132812,6
2021-04-14 14:28:09,-0.97583,-0.064209,0.19751,-0.967773,0.053223,-0.157227,6
2021-04-14 14:28:09,-0.97583,-0.080566,0.19751,-0.974609,0.048828,-0.134033,6
2021-04-14 14:28:09,-0.97583,-0.080078,0.19751,-0.977295,0.063721,-0.123535,6
2021-04-14 14:28:09,-0.97583,-0.080078,0.19751,-0.947266,0.068359,-0.119873,6
2021-04-14 14:28:09,-0.97583,-0.080078,0.197266,-0.958252,0.074951,-0.108154,6
2021-04-14 14:28:09,-0.97583,-0.080078,0.198975,-0.970947,0.060059,-0.102295,6
2021-04-14 14:28:09,-0.975586,-0.080078,0.214844,-0.96875,0.061035,-0.095947,6
2021-04-14 14:28:09,-0.978271,-0.080078,0.213135,-0.96875,0.070312,-0.116211,6
2021-04-14 14:28:09,-0.991211,-0.080566,0.213135,-0.96875,0.073486,-0.135498,6
